,Threshold,Number_Columns_Train,Names_Columns_Train,Names_Columns_Final,Final_Model_Parameters,Final_Training_Accuracy,Final_Testing_Accuracy,Global Explanations,Local Explanations,Results_Training_Before_FS,Results_Training_After_FS
0,3.39,24,"['ast', 'relaxation', 'serumcreatinine', 'hemoglobin', 'gender', 'weight', 'gtp', 'tartar', 'height', 'eyesight(left)', 'hearing(left)', 'ldl', 'cholesterol', 'dentalcaries', 'eyesight(right)', 'hdl', 'waist', 'urineprotein', 'fastingbloodsugar', 'triglyceride', 'age', 'systolic', 'hearing(right)', 'alt']","['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride']","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 128, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.9975887543607634,0.7897414412257601,"{'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Importance': array([0.15792348, 0.22906718, 0.21529668, 0.11014202, 0.28757063])}","{0: {'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Weights': array([0.1192186 , 0.03124859, 0.21464748, 0.08479694, 0.04967336]), 'Predicted Class': np.int64(1)}, 1: {'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Weights': array([ 0.09493288,  0.04348911,  0.03922665,  0.0565861 , -0.00027477]), 'Predicted Class': np.int64(1)}, 2: {'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Weights': array([ 0.19851153, -0.04378994,  0.03957323,  0.01482293,  0.03348479]), 'Predicted Class': np.int64(0)}, 3: {'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Weights': array([-0.13019508,  0.08933269,  0.16700112,  0.00713451,  0.0780793 ]), 'Predicted Class': np.int64(0)}, 4: {'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Weights': array([-0.06815911, -0.01577436,  0.07575727,  0.04686362,  0.07891511]), 'Predicted Class': np.int64(0)}}","[{'n_estimators': 256, 'criterion': 'gini', 'max_depth': None}, np.float64(0.812230635205697), array([0.04068222, 0.03956419, 0.03589554, 0.08400734, 0.11678992,
       0.0351514 , 0.08187274, 0.00905833, 0.06906418, 0.02605374,
       0.00161922, 0.04728692, 0.04583521, 0.00738706, 0.02588677,
       0.04599825, 0.04766604, 0.00447149, 0.0449219 , 0.06356525,
       0.03703213, 0.04247423, 0.00173745, 0.04597847])]","[{'n_estimators': 128, 'criterion': 'gini', 'max_depth': None}, np.float64(0.7717012101521991), array([0.14799736, 0.23153747, 0.21538718, 0.11898632, 0.28609167])]"
1,3.34,23,"['ast', 'relaxation', 'serumcreatinine', 'hemoglobin', 'gender', 'weight', 'gtp', 'tartar', 'height', 'eyesight(left)', 'ldl', 'cholesterol', 'dentalcaries', 'eyesight(right)', 'hdl', 'waist', 'urineprotein', 'fastingbloodsugar', 'triglyceride', 'age', 'systolic', 'hearing(right)', 'alt']","['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride']","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 256, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.9975887543607634,0.7897414412257601,"{'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Importance': array([0.14710314, 0.23535932, 0.21187676, 0.10710291, 0.29855787])}","{0: {'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Weights': array([0.11831663, 0.02585046, 0.20684003, 0.08228292, 0.05072082]), 'Predicted Class': np.int64(1)}, 1: {'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Weights': array([ 0.09773503,  0.04438256,  0.04092678,  0.04007753, -0.01254854]), 'Predicted Class': np.int64(1)}, 2: {'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Weights': array([ 0.19130388, -0.0386273 ,  0.03691063,  0.02000455,  0.04467863]), 'Predicted Class': np.int64(0)}, 3: {'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Weights': array([-0.13136184,  0.08858505,  0.16559698,  0.00247442,  0.05475702]), 'Predicted Class': np.int64(0)}, 4: {'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Weights': array([-7.00888935e-02,  5.10914806e-05,  1.09822514e-01,  5.41903025e-02,
        8.21703671e-02]), 'Predicted Class': np.int64(0)}}","[{'n_estimators': 256, 'criterion': 'gini', 'max_depth': None}, np.float64(0.8123588896625394), array([0.04089056, 0.0399875 , 0.03594331, 0.08573376, 0.11431468,
       0.03687498, 0.08176306, 0.008936  , 0.06849608, 0.02593611,
       0.04739538, 0.04600985, 0.00734417, 0.02578245, 0.04567187,
       0.0483557 , 0.00444271, 0.04481601, 0.06347546, 0.03713379,
       0.04244232, 0.00182256, 0.0464317 ])]","[{'n_estimators': 256, 'criterion': 'entropy', 'max_depth': None}, np.float64(0.7714446288527254), array([0.14488277, 0.23608869, 0.21439344, 0.1082883 , 0.29634681])]"
2,3.19,21,"['ast', 'relaxation', 'serumcreatinine', 'hemoglobin', 'gender', 'weight', 'gtp', 'tartar', 'height', 'eyesight(left)', 'ldl', 'cholesterol', 'dentalcaries', 'eyesight(right)', 'waist', 'urineprotein', 'fastingbloodsugar', 'triglyceride', 'age', 'systolic', 'hearing(right)']","['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride']","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 256, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.9975887543607634,0.7933325353124252,"{'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Importance': array([0.14418954, 0.23628122, 0.21363154, 0.10647707, 0.29942063])}","{0: {'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Weights': array([0.1189548 , 0.01968896, 0.19615231, 0.0792638 , 0.03889479]), 'Predicted Class': np.int64(1)}, 1: {'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Weights': array([ 0.09116398,  0.02622607,  0.0271603 ,  0.04346251, -0.02021446]), 'Predicted Class': np.int64(1)}, 2: {'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Weights': array([ 0.20036901, -0.02288443,  0.05835509,  0.03371428,  0.05092889]), 'Predicted Class': np.int64(0)}, 3: {'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Weights': array([-0.13680135,  0.09634261,  0.15672665, -0.00074337,  0.04089581]), 'Predicted Class': np.int64(0)}, 4: {'Feature': ['gender', 'hemoglobin', 'gtp', 'height', 'triglyceride'], 'Weights': array([-0.07049264,  0.00074003,  0.10032028,  0.05202043,  0.08945725]), 'Predicted Class': np.int64(0)}}","[{'n_estimators': 256, 'criterion': 'gini', 'max_depth': None}, np.float64(0.8108711346729048), array([0.0489856 , 0.04547286, 0.03920742, 0.09071356, 0.11758486,
       0.03802948, 0.08946745, 0.00965343, 0.07277286, 0.02972012,
       0.05437846, 0.05318679, 0.00800164, 0.02935004, 0.05457732,
       0.00511511, 0.05133721, 0.07131996, 0.04051656, 0.04859558,
       0.0020137 ])]","[{'n_estimators': 256, 'criterion': 'entropy', 'max_depth': None}, np.float64(0.7714190371860934), array([0.14651261, 0.23558292, 0.21327856, 0.10763885, 0.29698706])]"
3,3.09,19,"['ast', 'serumcreatinine', 'hemoglobin', 'gender', 'weight', 'gtp', 'tartar', 'height', 'eyesight(left)', 'ldl', 'cholesterol', 'dentalcaries', 'eyesight(right)', 'waist', 'urineprotein', 'fastingbloodsugar', 'triglyceride', 'age', 'systolic']","['gender', 'hemoglobin', 'gtp', 'triglyceride', 'height']","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 256, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.9975887543607634,0.789621738089538,"{'Feature': ['gender', 'hemoglobin', 'gtp', 'triglyceride', 'height'], 'Importance': array([0.14529532, 0.23833935, 0.21105767, 0.30043044, 0.10487722])}","{0: {'Feature': ['gender', 'hemoglobin', 'gtp', 'triglyceride', 'height'], 'Weights': array([0.12150268, 0.03160649, 0.20199104, 0.05447393, 0.0785992 ]), 'Predicted Class': np.int64(1)}, 1: {'Feature': ['gender', 'hemoglobin', 'gtp', 'triglyceride', 'height'], 'Weights': array([ 0.09599386,  0.03870955,  0.03492511, -0.01908976,  0.04857207]), 'Predicted Class': np.int64(1)}, 2: {'Feature': ['gender', 'hemoglobin', 'gtp', 'triglyceride', 'height'], 'Weights': array([ 0.20680437, -0.03107543,  0.04434786,  0.04533107,  0.02376255]), 'Predicted Class': np.int64(0)}, 3: {'Feature': ['gender', 'hemoglobin', 'gtp', 'triglyceride', 'height'], 'Weights': array([-0.13148046,  0.10176168,  0.16374635,  0.05662346,  0.00867564]), 'Predicted Class': np.int64(0)}, 4: {'Feature': ['gender', 'hemoglobin', 'gtp', 'triglyceride', 'height'], 'Weights': array([-0.0701788 , -0.00335485,  0.10556165,  0.09133897,  0.0525222 ]), 'Predicted Class': np.int64(0)}}","[{'n_estimators': 256, 'criterion': 'entropy', 'max_depth': None}, np.float64(0.8108711642852728), array([0.05404552, 0.03929462, 0.09182373, 0.11852571, 0.03960744,
       0.08738443, 0.00938477, 0.06923088, 0.03275156, 0.06152752,
       0.0602466 , 0.00826964, 0.03255364, 0.06006159, 0.00526661,
       0.05770639, 0.0749341 , 0.04067384, 0.05671138])]","[{'n_estimators': 256, 'criterion': 'entropy', 'max_depth': None}, np.float64(0.7713677979183557), array([0.1472652 , 0.23373539, 0.21406038, 0.29646029, 0.10847873])]"
4,3.04,18,"['ast', 'serumcreatinine', 'hemoglobin', 'gender', 'weight', 'tartar', 'height', 'eyesight(left)', 'ldl', 'cholesterol', 'dentalcaries', 'eyesight(right)', 'waist', 'urineprotein', 'fastingbloodsugar', 'triglyceride', 'age', 'systolic']","['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl']","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 128, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.9992561050687462,0.7810031122815417,"{'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Importance': array([0.15239805, 0.208011  , 0.26869678, 0.10569525, 0.26519892])}","{0: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Weights': array([0.12762047, 0.07675095, 0.0167802 , 0.09005943, 0.07988209]), 'Predicted Class': np.int64(1)}, 1: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Weights': array([0.11933825, 0.04830869, 0.03419186, 0.04931351, 0.06181583]), 'Predicted Class': np.int64(1)}, 2: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Weights': array([0.18968842, 0.0056678 , 0.06320077, 0.03998294, 0.06036694]), 'Predicted Class': np.int64(0)}, 3: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Weights': array([ 0.18974821, -0.02880618, -0.0445354 ,  0.05660509,  0.06183143]), 'Predicted Class': np.int64(1)}, 4: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Weights': array([-0.08562962, -0.04472508,  0.0793113 ,  0.01561555,  0.11308471]), 'Predicted Class': np.int64(0)}}","[{'n_estimators': 256, 'criterion': 'entropy', 'max_depth': None}, np.float64(0.8004052748708851), array([0.05969348, 0.04296412, 0.09914761, 0.12276834, 0.04515249,
       0.00938725, 0.07221039, 0.03632419, 0.06889874, 0.0673722 ,
       0.00853227, 0.03598189, 0.06716475, 0.00586438, 0.06399888,
       0.0884083 , 0.04356832, 0.06256238])]","[{'n_estimators': 128, 'criterion': 'entropy', 'max_depth': None}, np.float64(0.7646727310164485), array([0.14256072, 0.21823526, 0.26975385, 0.10810898, 0.26134119])]"
5,2.79,17,"['ast', 'serumcreatinine', 'hemoglobin', 'gender', 'weight', 'tartar', 'height', 'ldl', 'cholesterol', 'dentalcaries', 'eyesight(right)', 'waist', 'urineprotein', 'fastingbloodsugar', 'triglyceride', 'age', 'systolic']","['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl']","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 256, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.9993074081674533,0.7829183624610965,"{'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Importance': array([0.14405947, 0.21293636, 0.27011406, 0.10922088, 0.26366923])}","{0: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Weights': array([0.12074266, 0.05858779, 0.00314865, 0.09086312, 0.07407244]), 'Predicted Class': np.int64(1)}, 1: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Weights': array([0.11053545, 0.05409474, 0.03078486, 0.04675967, 0.0466462 ]), 'Predicted Class': np.int64(1)}, 2: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Weights': array([0.18609683, 0.0024713 , 0.05954419, 0.04521206, 0.06629221]), 'Predicted Class': np.int64(0)}, 3: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Weights': array([ 0.19819542, -0.01119107, -0.02607292,  0.07463132,  0.08060191]), 'Predicted Class': np.int64(1)}, 4: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Weights': array([-0.07972707, -0.05028301,  0.08377956,  0.0072503 ,  0.10172181]), 'Predicted Class': np.int64(0)}}","[{'n_estimators': 256, 'criterion': 'entropy', 'max_depth': None}, np.float64(0.8010721717243605), array([0.06252223, 0.04338827, 0.10066924, 0.12721762, 0.04561202,
       0.0096185 , 0.07343945, 0.07230801, 0.0704427 , 0.00875953,
       0.03978153, 0.07019853, 0.00606498, 0.06719886, 0.09207594,
       0.04517953, 0.06552305])]","[{'n_estimators': 256, 'criterion': 'entropy', 'max_depth': None}, np.float64(0.7673662029304006), array([0.14888539, 0.21623115, 0.27041419, 0.10353558, 0.26093369])]"
6,2.74,16,"['ast', 'serumcreatinine', 'hemoglobin', 'gender', 'weight', 'height', 'ldl', 'cholesterol', 'dentalcaries', 'eyesight(right)', 'waist', 'urineprotein', 'fastingbloodsugar', 'triglyceride', 'age', 'systolic']","['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl']","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 256, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.9993074081674533,0.7832176203016519,"{'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Importance': array([0.15697855, 0.21548842, 0.26516992, 0.11086706, 0.25149605])}","{0: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Weights': array([ 0.11862915,  0.07255243, -0.00237507,  0.08984323,  0.07374703]), 'Predicted Class': np.int64(1)}, 1: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Weights': array([0.11521266, 0.04582677, 0.0254689 , 0.03932866, 0.04745822]), 'Predicted Class': np.int64(1)}, 2: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Weights': array([1.91832140e-01, 7.74205611e-05, 5.44990290e-02, 3.70166385e-02,
       4.87483081e-02]), 'Predicted Class': np.int64(0)}, 3: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Weights': array([ 0.20962375, -0.00450259, -0.02469367,  0.07175558,  0.0718934 ]), 'Predicted Class': np.int64(1)}, 4: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'height', 'ldl'], 'Weights': array([-0.06721028, -0.08167921,  0.07776675,  0.00642098,  0.10000029]), 'Predicted Class': np.int64(0)}}","[{'n_estimators': 256, 'criterion': 'gini', 'max_depth': None}, np.float64(0.7983787853572498), array([0.06085821, 0.04429435, 0.10532062, 0.1314014 , 0.04703216,
       0.08082413, 0.06987548, 0.06829804, 0.00874928, 0.03866013,
       0.06862471, 0.00612692, 0.0653791 , 0.09390098, 0.04703408,
       0.06362042])]","[{'n_estimators': 256, 'criterion': 'gini', 'max_depth': None}, np.float64(0.765467954712555), array([0.1522854 , 0.21594106, 0.26490487, 0.11711615, 0.24975252])]"
7,2.69,15,"['serumcreatinine', 'hemoglobin', 'gender', 'weight', 'height', 'ldl', 'cholesterol', 'dentalcaries', 'eyesight(right)', 'waist', 'urineprotein', 'fastingbloodsugar', 'triglyceride', 'age', 'systolic']","['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol']","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 128, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.9998460907038785,0.7801053387598755,"{'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Importance': array([0.17140095, 0.20614858, 0.22584034, 0.19564826, 0.20096188])}","{0: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Weights': array([0.15544628, 0.08453965, 0.01389022, 0.05208296, 0.05333973]), 'Predicted Class': np.int64(1)}, 1: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Weights': array([0.13804297, 0.06787302, 0.03677806, 0.06208922, 0.05451558]), 'Predicted Class': np.int64(1)}, 2: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Weights': array([ 0.25848175, -0.00926425,  0.05727435,  0.05907548,  0.00169633]), 'Predicted Class': np.int64(0)}, 3: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Weights': array([-0.21805955,  0.09971262,  0.05083865, -0.01307352,  0.02597045]), 'Predicted Class': np.int64(0)}, 4: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Weights': array([-0.08363115, -0.07571186,  0.05937472,  0.10408106,  0.04283839]), 'Predicted Class': np.int64(0)}}","[{'n_estimators': 256, 'criterion': 'entropy', 'max_depth': None}, np.float64(0.7966345050026147), array([0.04882056, 0.11079722, 0.11913943, 0.05076678, 0.07638394,
       0.08017489, 0.07870319, 0.00925445, 0.04481157, 0.07780773,
       0.00717132, 0.07420518, 0.09979788, 0.04979271, 0.07237314])]","[{'n_estimators': 128, 'criterion': 'entropy', 'max_depth': None}, np.float64(0.7691361934011404), array([0.17646694, 0.20213963, 0.22435951, 0.19643406, 0.20059987])]"
8,2.64,14,"['serumcreatinine', 'hemoglobin', 'gender', 'weight', 'height', 'ldl', 'cholesterol', 'dentalcaries', 'waist', 'urineprotein', 'fastingbloodsugar', 'triglyceride', 'age', 'systolic']","['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol']","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 256, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.999871742253232,0.7812425185539861,"{'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Importance': array([0.19094277, 0.20409873, 0.22285799, 0.18889056, 0.19320996])}","{0: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Weights': array([0.1633667 , 0.09193443, 0.02856878, 0.06701968, 0.0633249 ]), 'Predicted Class': np.int64(1)}, 1: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Weights': array([0.14271061, 0.08043907, 0.04774999, 0.05164159, 0.056517  ]), 'Predicted Class': np.int64(1)}, 2: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Weights': array([ 0.2598589 , -0.01232089,  0.05480566,  0.05965935,  0.00112624]), 'Predicted Class': np.int64(0)}, 3: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Weights': array([-0.21150127,  0.08133373,  0.04081709, -0.02939087,  0.01702681]), 'Predicted Class': np.int64(0)}, 4: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Weights': array([-0.06821985, -0.07862238,  0.06978883,  0.10016376,  0.06267514]), 'Predicted Class': np.int64(0)}}","[{'n_estimators': 256, 'criterion': 'entropy', 'max_depth': None}, np.float64(0.7959162504319293), array([0.0519919 , 0.11305358, 0.1209333 , 0.0532594 , 0.07863242,
       0.08531686, 0.0839955 , 0.00931847, 0.08267783, 0.00761914,
       0.07918349, 0.10466289, 0.05181861, 0.0775366 ])]","[{'n_estimators': 256, 'criterion': 'gini', 'max_depth': None}, np.float64(0.7685461472236134), array([0.18251474, 0.21067626, 0.22428991, 0.18952925, 0.19298984])]"
9,2.59,13,"['hemoglobin', 'gender', 'weight', 'height', 'ldl', 'cholesterol', 'dentalcaries', 'waist', 'urineprotein', 'fastingbloodsugar', 'triglyceride', 'age', 'systolic']","['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol']","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 256, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.999871742253232,0.7842350969595403,"{'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Importance': array([0.17235723, 0.20428313, 0.22431733, 0.19714065, 0.20190166])}","{0: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Weights': array([0.15904306, 0.09330563, 0.0356613 , 0.06913603, 0.06870949]), 'Predicted Class': np.int64(1)}, 1: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Weights': array([0.1375569 , 0.07309613, 0.03041401, 0.04989307, 0.05286413]), 'Predicted Class': np.int64(1)}, 2: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Weights': array([ 0.24972877, -0.00988585,  0.05837118,  0.06235846,  0.00263445]), 'Predicted Class': np.int64(0)}, 3: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Weights': array([-0.20479112,  0.10145301,  0.04254751, -0.0193103 ,  0.02533916]), 'Predicted Class': np.int64(0)}, 4: {'Feature': ['gender', 'hemoglobin', 'triglyceride', 'ldl', 'cholesterol'], 'Weights': array([-0.08676065, -0.08135023,  0.06094381,  0.10621523,  0.05165883]), 'Predicted Class': np.int64(0)}}","[{'n_estimators': 256, 'criterion': 'entropy', 'max_depth': None}, np.float64(0.7929150731099759), array([0.12115907, 0.1259559 , 0.05629112, 0.0802919 , 0.09099074,
       0.08976706, 0.00951692, 0.08745767, 0.00803563, 0.08424778,
       0.11089698, 0.05331288, 0.08207635])]","[{'n_estimators': 256, 'criterion': 'entropy', 'max_depth': None}, np.float64(0.7697260948070895), array([0.17279327, 0.20588888, 0.22417876, 0.19661313, 0.20052596])]"
